Age,CityTier,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Married,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
44.0,1,8.0,3,1.0,3.0,2.0,1,4,1,0.0,22879.0,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False
35.0,3,20.0,3,4.0,3.0,3.0,0,1,1,2.0,27306.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
47.0,3,7.0,4,4.0,5.0,3.0,0,2,1,2.0,29131.0,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
32.0,1,6.0,3,3.0,4.0,2.0,0,3,1,0.0,21220.0,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
59.0,1,9.0,3,4.0,3.0,6.0,0,2,1,2.0,21157.0,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False
44.0,3,11.0,2,3.0,4.0,1.0,0,5,1,1.0,33213.0,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True
32.0,1,35.0,2,4.0,4.0,2.0,0,3,1,0.0,17837.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False
27.0,3,7.0,3,4.0,3.0,3.0,0,5,0,2.0,23974.0,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
38.0,3,8.0,2,4.0,3.0,4.0,0,5,1,1.0,20249.0,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
32.0,1,12.0,3,4.0,3.0,2.0,1,4,1,1.0,23499.0,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False
40.0,1,30.0,3,3.0,3.0,2.0,0,3,1,1.0,18319.0,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False
38.0,1,20.0,3,4.0,3.0,3.0,0,1,0,1.0,22963.0,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False
35.0,3,6.0,3,3.0,3.0,2.0,0,5,1,0.0,23789.0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
35.0,1,8.0,3,3.0,5.0,2.0,1,1,1,1.0,17074.0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
34.0,1,17.0,3,6.0,3.0,2.0,0,5,0,1.0,22086.0,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False
33.0,1,36.0,3,5.0,4.0,3.0,0,3,1,1.0,21515.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False
51.0,1,15.0,3,3.0,3.0,4.0,0,3,1,0.0,17075.0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
29.0,3,30.0,2,1.0,5.0,2.0,0,3,1,1.0,16091.0,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False
34.0,3,25.0,3,2.0,3.0,1.0,1,2,1,2.0,20304.0,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False
38.0,1,14.0,2,4.0,3.0,6.0,0,2,0,1.0,32342.0,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False
46.0,1,6.0,3,3.0,5.0,1.0,0,2,0,0.0,24396.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
54.0,2,25.0,2,3.0,4.0,3.0,0,3,1,0.0,25725.0,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False
56.0,1,15.0,2,3.0,3.0,1.0,0,4,0,0.0,26103.0,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False
30.0,1,10.0,2,3.0,3.0,19.0,1,4,1,1.0,17285.0,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False
26.0,1,6.0,3,3.0,5.0,1.0,0,5,1,2.0,17867.0,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False
33.0,1,13.0,2,3.0,3.0,1.0,0,4,1,0.0,26691.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
24.0,1,23.0,3,4.0,4.0,2.0,0,3,1,1.0,17127.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
30.0,1,36.0,4,6.0,3.0,2.0,0,5,1,3.0,25062.0,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
33.0,3,8.0,3,3.0,4.0,1.0,0,1,0,0.0,20147.0,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
53.0,3,8.0,2,4.0,4.0,3.0,0,1,1,0.0,22525.0,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
29.0,3,14.0,3,4.0,5.0,2.0,0,3,1,2.0,23576.0,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
39.0,1,15.0,2,3.0,5.0,2.0,0,4,1,0.0,20151.0,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False
46.0,3,9.0,4,4.0,4.0,2.0,0,5,1,3.0,23483.0,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
35.0,1,14.0,3,4.0,4.0,2.0,0,3,1,1.0,30672.0,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False
35.0,3,9.0,4,4.0,3.0,8.0,0,5,0,1.0,20909.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
33.0,1,7.0,4,5.0,4.0,8.0,0,3,0,3.0,21010.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
29.0,1,16.0,2,4.0,3.0,2.0,0,4,1,0.0,21623.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
41.0,3,16.0,2,3.0,3.0,1.0,0,1,0,1.0,21230.0,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
43.0,1,36.0,3,6.0,3.0,6.0,0,3,1,1.0,22950.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
35.0,3,13.0,3,6.0,3.0,2.0,0,4,0,2.0,21029.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
41.0,3,12.0,3,3.0,3.0,4.0,1,1,0,0.0,28591.0,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False
33.0,1,6.0,2,4.0,3.0,1.0,0,4,0,0.0,21949.0,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
40.0,1,15.0,2,3.0,3.0,1.0,0,4,0,0.0,28499.0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
26.0,1,9.0,3,3.0,5.0,1.0,0,3,0,1.0,18102.0,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False
41.0,1,25.0,2,3.0,5.0,3.0,0,1,0,0.0,18072.0,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False
37.0,1,17.0,2,3.0,3.0,2.0,1,3,0,1.0,27185.0,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
31.0,3,13.0,2,4.0,3.0,4.0,0,4,1,1.0,17329.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
45.0,3,8.0,3,6.0,4.0,8.0,0,3,0,2.0,21040.0,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False
33.0,1,9.0,3,3.0,5.0,2.0,1,5,1,2.0,18348.0,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False
33.0,1,9.0,4,4.0,4.0,3.0,0,4,0,1.0,21048.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
33.0,1,14.0,3,3.0,3.0,3.0,1,3,0,2.0,21388.0,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False
30.0,3,18.0,2,3.0,3.0,1.0,0,2,1,0.0,21577.0,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False
42.0,1,25.0,2,2.0,3.0,7.0,1,3,1,1.0,17759.0,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False
46.0,1,8.0,2,3.0,3.0,7.0,0,5,1,0.0,32861.0,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False
51.0,1,16.0,4,4.0,3.0,6.0,0,5,1,3.0,21058.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
30.0,1,8.0,2,5.0,3.0,3.0,0,1,1,0.0,21091.0,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
37.0,1,25.0,3,3.0,3.0,6.0,0,5,0,1.0,22366.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
28.0,2,6.0,2,3.0,3.0,2.0,0,4,0,1.0,17706.0,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False
42.0,1,12.0,2,3.0,5.0,1.0,0,3,1,0.0,28348.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
44.0,1,10.0,2,3.0,4.0,1.0,0,2,1,0.0,20933.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
39.0,1,9.0,3,5.0,4.0,3.0,0,1,1,1.0,21118.0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
42.0,1,23.0,2,2.0,5.0,4.0,1,2,0,0.0,21545.0,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
39.0,1,28.0,2,3.0,5.0,2.0,1,5,1,1.0,25880.0,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
28.0,1,6.0,2,5.0,3.0,1.0,0,3,1,0.0,21674.0,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
43.0,1,20.0,3,3.0,5.0,7.0,0,5,1,1.0,32159.0,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False
45.0,1,22.0,4,4.0,3.0,3.0,0,3,0,2.0,26656.0,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
53.0,1,13.0,4,4.0,5.0,5.0,1,4,1,2.0,24255.0,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False
42.0,1,16.0,4,4.0,5.0,4.0,0,1,0,1.0,20916.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
36.0,1,33.0,3,3.0,3.0,7.0,0,3,1,0.0,20237.0,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False
22.0,1,7.0,4,5.0,4.0,3.0,1,5,0,3.0,20748.0,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False
37.0,1,12.0,4,4.0,4.0,2.0,0,2,0,3.0,24592.0,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False
30.0,3,20.0,3,4.0,4.0,7.0,0,3,0,2.0,24443.0,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
36.0,1,18.0,4,5.0,5.0,4.0,1,5,1,3.0,28562.0,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False
40.0,1,10.0,2,3.0,3.0,2.0,0,5,0,1.0,34033.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
51.0,1,14.0,2,5.0,3.0,3.0,0,2,0,1.0,25650.0,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
39.0,3,7.0,3,5.0,5.0,6.0,0,3,0,2.0,21536.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
43.0,1,18.0,2,4.0,4.0,2.0,0,3,0,1.0,29336.0,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False
35.0,1,10.0,3,3.0,3.0,2.0,0,4,0,0.0,16951.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
40.0,1,9.0,4,4.0,3.0,2.0,0,2,1,2.0,29616.0,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
27.0,3,17.0,3,4.0,3.0,3.0,0,1,0,1.0,23362.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
26.0,1,8.0,2,3.0,5.0,7.0,1,5,1,0.0,17042.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
43.0,3,32.0,3,3.0,3.0,2.0,1,2,0,0.0,31959.0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
32.0,1,18.0,4,4.0,5.0,3.0,1,2,0,3.0,25511.0,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False
35.0,1,12.0,3,5.0,5.0,4.0,0,2,0,1.0,30309.0,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False
34.0,1,11.0,3,5.0,4.0,8.0,0,4,0,2.0,21300.0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
31.0,1,14.0,2,4.0,4.0,2.0,0,4,0,1.0,16261.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False
35.0,3,16.0,4,4.0,3.0,3.0,0,1,0,1.0,24392.0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
42.0,3,16.0,3,6.0,3.0,2.0,0,5,1,2.0,24829.0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False
34.0,1,14.0,2,3.0,5.0,4.0,0,5,1,1.0,20121.0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
34.0,1,9.0,3,4.0,5.0,2.0,0,3,1,1.0,21385.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
34.0,1,13.0,2,3.0,4.0,1.0,0,3,1,0.0,26994.0,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False
39.0,1,36.0,3,4.0,3.0,5.0,0,2,0,2.0,24939.0,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False
29.0,1,12.0,3,4.0,3.0,3.0,1,1,0,1.0,22119.0,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False
35.0,1,8.0,2,3.0,3.0,3.0,0,3,0,1.0,20762.0,False,False,False,True,True,True,False,False,False,True,False,False,True,False,False
26.0,3,10.0,2,4.0,3.0,2.0,1,2,1,1.0,20828.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
37.0,1,10.0,3,4.0,3.0,7.0,0,2,1,1.0,21513.0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
35.0,1,16.0,4,4.0,5.0,6.0,0,3,0,2.0,24024.0,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False
40.0,1,9.0,3,4.0,3.0,2.0,0,3,1,1.0,30847.0,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False
33.0,3,11.0,2,3.0,3.0,2.0,1,2,1,0.0,17851.0,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
38.0,3,15.0,3,4.0,4.0,1.0,0,4,0,0.0,17899.0,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False
33.0,1,20.0,4,5.0,4.0,3.0,0,5,1,1.0,21421.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
29.0,1,6.0,2,4.0,5.0,2.0,1,2,0,0.0,17319.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
34.0,1,14.0,3,4.0,3.0,2.0,0,4,1,1.0,30369.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
36.0,3,24.0,4,4.0,5.0,5.0,1,3,1,2.0,27644.0,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False
23.0,3,8.0,3,3.0,5.0,4.0,0,3,1,1.0,17322.0,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False
61.0,1,14.0,3,4.0,5.0,7.0,0,5,0,1.0,38244.0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
55.0,3,8.0,2,4.0,3.0,1.0,0,5,0,0.0,28577.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
61.0,3,35.0,4,5.0,5.0,6.0,0,2,1,1.0,28944.0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
28.0,3,7.0,4,4.0,4.0,2.0,1,1,0,2.0,25027.0,False,False,False,True,True,True,False,False,False,True,False,False,True,False,False
36.0,1,17.0,3,4.0,4.0,2.0,0,4,1,1.0,21499.0,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
41.0,3,35.0,3,6.0,5.0,5.0,0,5,1,1.0,29610.0,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
33.0,1,9.0,4,3.0,3.0,2.0,0,3,1,3.0,23733.0,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False
40.0,1,8.0,2,4.0,3.0,3.0,0,5,0,1.0,17809.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
31.0,1,10.0,3,4.0,3.0,6.0,0,3,0,2.0,20775.0,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
39.0,1,7.0,4,4.0,5.0,3.0,0,4,1,2.0,32260.0,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False
28.0,1,30.0,3,4.0,5.0,2.0,0,1,1,1.0,23722.0,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
30.0,1,9.0,4,4.0,4.0,2.0,0,5,0,3.0,21858.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
52.0,1,31.0,2,4.0,3.0,4.0,0,5,0,1.0,28826.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
22.0,3,19.0,3,3.0,4.0,3.0,0,5,0,2.0,21394.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False
27.0,3,14.0,2,3.0,4.0,2.0,0,1,0,1.0,21214.0,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False
45.0,1,17.0,4,4.0,3.0,3.0,1,3,1,1.0,21614.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
36.0,3,16.0,2,4.0,5.0,1.0,0,5,0,0.0,22094.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False
43.0,1,13.0,2,3.0,5.0,1.0,0,5,1,0.0,24985.0,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
36.0,1,8.0,2,3.0,4.0,1.0,1,3,1,0.0,20410.0,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False
55.0,1,20.0,3,2.0,4.0,1.0,0,2,0,2.0,33722.0,True,False,False,True,True,False,True,False,False,False,True,False,False,False,True
56.0,1,30.0,3,3.0,3.0,2.0,0,3,0,0.0,17587.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
42.0,3,6.0,2,3.0,3.0,2.0,0,3,1,0.0,19907.0,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False
34.0,3,14.0,3,3.0,5.0,6.0,0,1,1,2.0,21500.0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
51.0,1,15.0,3,3.0,3.0,4.0,0,3,1,0.0,17075.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
40.0,3,11.0,3,5.0,3.0,6.0,0,5,1,1.0,24580.0,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
53.0,1,26.0,3,4.0,3.0,2.0,0,3,1,1.0,22936.0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
50.0,1,27.0,4,4.0,5.0,3.0,0,2,1,3.0,25245.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
28.0,1,6.0,3,5.0,4.0,1.0,1,2,1,0.0,17216.0,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False
38.0,3,23.0,4,5.0,3.0,6.0,0,5,1,3.0,25012.0,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False
49.0,1,26.0,3,3.0,5.0,2.0,0,1,1,0.0,21567.0,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False
30.0,2,24.0,3,5.0,5.0,3.0,0,3,0,1.0,26666.0,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False
32.0,1,11.0,3,2.0,4.0,1.0,1,2,1,0.0,18298.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
31.0,1,7.0,3,6.0,3.0,5.0,0,4,1,1.0,22511.0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
36.0,1,28.0,3,4.0,3.0,3.0,1,3,0,1.0,22692.0,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False
18.0,3,11.0,3,3.0,4.0,2.0,1,4,1,2.0,16878.0,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False
42.0,1,8.0,2,4.0,5.0,1.0,1,4,1,1.0,17593.0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
25.0,3,17.0,4,4.0,3.0,3.0,1,1,0,1.0,22938.0,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False
38.0,3,8.0,3,5.0,3.0,3.0,1,3,0,0.0,20405.0,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False
29.0,1,22.0,3,4.0,3.0,3.0,0,4,1,2.0,20885.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
29.0,1,24.0,4,4.0,5.0,3.0,0,1,0,2.0,23236.0,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False
29.0,1,27.0,2,1.0,5.0,2.0,0,5,1,1.0,24980.0,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False
39.0,1,16.0,3,3.0,5.0,2.0,1,3,1,2.0,32068.0,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False
47.0,1,11.0,2,3.0,3.0,5.0,0,1,1,0.0,33300.0,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
61.0,3,23.0,3,4.0,5.0,2.0,0,4,1,1.0,24083.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
33.0,1,9.0,4,4.0,5.0,3.0,0,1,1,2.0,21117.0,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False
54.0,1,25.0,3,3.0,5.0,1.0,1,3,0,2.0,20485.0,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False
42.0,3,10.0,2,3.0,5.0,1.0,0,5,1,0.0,20155.0,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False
36.0,1,12.0,4,4.0,4.0,2.0,0,3,0,1.0,26773.0,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False
34.0,3,14.0,3,3.0,5.0,6.0,0,2,1,0.0,21500.0,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False
27.0,1,32.0,3,6.0,3.0,3.0,0,2,1,2.0,20971.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
46.0,3,8.0,2,3.0,5.0,4.0,0,1,1,1.0,33947.0,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True
25.0,1,7.0,3,5.0,3.0,3.0,0,3,1,2.0,23295.0,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False
24.0,1,19.0,4,4.0,3.0,3.0,0,5,1,1.0,21325.0,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False
46.0,3,16.0,3,3.0,4.0,6.0,0,1,0,2.0,22314.0,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False
44.0,3,15.0,3,4.0,5.0,4.0,0,1,1,2.0,34190.0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False
31.0,1,15.0,2,4.0,5.0,1.0,1,3,1,0.0,17321.0,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False
41.0,3,10.0,2,3.0,4.0,2.0,0,3,1,0.0,24355.0,False,False,False,True,True,True,False,False,False,False,True,False,True,False,False
